Time,x1,x2,x3,
0.000000,1.421909E+03,3.571675E+03,6.475237E+00,
1.000000,5.002147E+02,3.543150E+03,4.920166E-01,
2.000000,5.837539E+02,3.397594E+03,4.330885E-01,
3.000000,6.548304E+02,3.242309E+03,3.951875E-01,
4.000000,7.264739E+02,3.088089E+03,3.638343E-01,
5.000000,8.152725E+02,2.942208E+03,4.290897E-01,
6.000000,9.009443E+02,2.803378E+03,3.787388E-01,
7.000000,9.978953E+02,2.670205E+03,3.124373E-01,
8.000000,1.122023E+03,2.544514E+03,3.008742E-01,
9.000000,1.247788E+03,2.427327E+03,2.694625E-01,
10.000000,1.433842E+03,2.314971E+03,2.450754E-01,
11.000000,1.691357E+03,2.207917E+03,2.154399E-01,
12.000000,1.989818E+03,2.105494E+03,2.016885E-01,
13.000000,2.290438E+03,2.007729E+03,1.790419E-01,
14.000000,2.539432E+03,1.914807E+03,1.547430E-01,
15.000000,2.767579E+03,1.826777E+03,1.799029E-01,
16.000000,2.952035E+03,1.743653E+03,1.083535E-01,
17.000000,3.159424E+03,1.664347E+03,1.104618E-01,
18.000000,3.291927E+03,1.588775E+03,1.853504E-01,
19.000000,3.335859E+03,1.516911E+03,2.252898E-01,
20.000000,3.341239E+03,1.447729E+03,1.683535E-01,
21.000000,3.318632E+03,1.382455E+03,1.469631E-01,
22.000000,3.288783E+03,1.320656E+03,1.664277E-01,
23.000000,3.273442E+03,1.261318E+03,1.806048E-01,
24.000000,3.239841E+03,1.204866E+03,1.806696E-01,
25.000000,3.214444E+03,1.151937E+03,1.446843E-01,
26.000000,3.194166E+03,1.100332E+03,1.733532E-01,
27.000000,3.162654E+03,1.051961E+03,1.506125E-01,
28.000000,3.134100E+03,1.005432E+03,1.960673E-01,
29.000000,3.063488E+03,9.613393E+02,2.423136E-01,
30.000000,3.059811E+03,9.192776E+02,2.675968E-01,
31.000000,3.096850E+03,8.790737E+02,1.980050E-01,
32.000000,3.145932E+03,8.407817E+02,2.305199E-01,
33.000000,3.181495E+03,8.044884E+02,2.774942E-01,
34.000000,3.213545E+03,7.695838E+02,2.478140E-01,
35.000000,3.282059E+03,7.364563E+02,2.740426E-01,
36.000000,3.370694E+03,7.046333E+02,4.450741E-01,
37.000000,3.410752E+03,6.745727E+02,3.521168E-01,
38.000000,3.451201E+03,6.456041E+02,3.554295E-01,
39.000000,3.518175E+03,6.179304E+02,2.962682E-01,
