Time,x1,x2,x3,
0.000000,1.421909E+03,3.571675E+03,7.422132E+00,
1.000000,3.536639E+02,2.937212E+03,6.807245E-01,
2.000000,4.166286E+02,2.287086E+03,6.360370E-01,
3.000000,4.428195E+02,1.851775E+03,5.683380E-01,
4.000000,4.568277E+02,1.522755E+03,4.928450E-01,
5.000000,4.666494E+02,1.292552E+03,4.743044E-01,
6.000000,4.692852E+02,1.111816E+03,4.478009E-01,
7.000000,4.756850E+02,9.768932E+02,4.195985E-01,
8.000000,4.819948E+02,8.825434E+02,4.035988E-01,
9.000000,4.977833E+02,8.053379E+02,3.954099E-01,
10.000000,5.299295E+02,7.496588E+02,3.781923E-01,
11.000000,6.132132E+02,7.034602E+02,3.829630E-01,
12.000000,7.695425E+02,6.693568E+02,3.724700E-01,
13.000000,1.093514E+03,6.483537E+02,3.863037E-01,
14.000000,1.705076E+03,6.263513E+02,3.526156E-01,
15.000000,2.403876E+03,6.128099E+02,5.097303E-01,
16.000000,2.873080E+03,6.033333E+02,3.611784E-01,
17.000000,3.107667E+03,6.169783E+02,3.411564E-01,
18.000000,3.240223E+03,6.535651E+02,4.046784E-01,
19.000000,3.270160E+03,8.100766E+02,8.444381E-01,
20.000000,3.278669E+03,7.844803E+02,6.746905E-01,
21.000000,3.356706E+03,9.221601E+02,4.143179E-01,
22.000000,3.318296E+03,1.467728E+03,4.745370E-01,
23.000000,3.034247E+03,2.590792E+03,3.045932E-01,
24.000000,2.948341E+03,3.364456E+03,2.247272E-01,
25.000000,2.915728E+03,3.853776E+03,1.665369E-01,
26.000000,2.894369E+03,4.139121E+03,1.207449E-01,
27.000000,2.884020E+03,4.312247E+03,1.482620E-01,
28.000000,2.878180E+03,4.404171E+03,1.568211E-01,
29.000000,2.876008E+03,4.439582E+03,1.795401E-01,
30.000000,2.844622E+03,4.486552E+03,2.239205E-01,
31.000000,2.843235E+03,4.520458E+03,3.108290E-01,
32.000000,2.842767E+03,4.546721E+03,4.070629E-01,
33.000000,2.873837E+03,4.429236E+03,5.058480E-01,
34.000000,2.825727E+03,4.564288E+03,6.878926E-01,
35.000000,2.810278E+03,4.619459E+03,8.538776E-01,
36.000000,2.808887E+03,4.664072E+03,1.028992E+00,
37.000000,2.808338E+03,4.702165E+03,1.205672E+00,
38.000000,2.808275E+03,4.741100E+03,1.416715E+00,
39.000000,2.807975E+03,4.834919E+03,1.924901E+00,
