Time,x1,x2,x3,
0.000000,1.129463E+03,3.571675E+03,9.796892E-01,
1.000000,3.639405E+03,3.470967E+03,3.252230E+00,
2.000000,4.124847E+03,4.029813E+03,4.691287E+00,
3.000000,4.597129E+03,4.908200E+03,9.406289E+00,
4.000000,4.984902E+03,5.463779E+03,1.451624E+01,
5.000000,5.139044E+03,5.633426E+03,1.635304E+01,
6.000000,5.226578E+03,5.657902E+03,1.742069E+01,
7.000000,5.194616E+03,5.660359E+03,1.529764E+01,
8.000000,5.278944E+03,5.660693E+03,1.694517E+01,
9.000000,5.296910E+03,5.660721E+03,1.877212E+01,
10.000000,5.303864E+03,5.660723E+03,1.513396E+01,
11.000000,5.361983E+03,5.660723E+03,1.703789E+01,
12.000000,5.356680E+03,5.660723E+03,1.929984E+01,
13.000000,5.318354E+03,5.660118E+03,1.708629E+01,
14.000000,5.335774E+03,5.660705E+03,2.294167E+01,
15.000000,5.344165E+03,5.660722E+03,2.281984E+01,
16.000000,5.345404E+03,5.660723E+03,2.202193E+01,
17.000000,5.392794E+03,5.660723E+03,1.788571E+01,
18.000000,5.448758E+03,5.660723E+03,1.759808E+01,
19.000000,5.415765E+03,5.660648E+03,1.967266E+01,
20.000000,5.476450E+03,5.660723E+03,2.347484E+01,
21.000000,5.401151E+03,5.660723E+03,1.832152E+01,
22.000000,5.401463E+03,5.660723E+03,1.970106E+01,
23.000000,5.360949E+03,5.660723E+03,1.865308E+01,
24.000000,5.462611E+03,5.660723E+03,2.173657E+01,
25.000000,5.409657E+03,5.660711E+03,1.805211E+01,
26.000000,5.473927E+03,5.660723E+03,2.295347E+01,
27.000000,5.506796E+03,5.660723E+03,2.316150E+01,
28.000000,5.478714E+03,5.660723E+03,2.306468E+01,
29.000000,5.457680E+03,5.660723E+03,1.824058E+01,
30.000000,5.530447E+03,5.660723E+03,1.895048E+01,
31.000000,5.527570E+03,5.660716E+03,1.990943E+01,
32.000000,5.521149E+03,5.660723E+03,1.941553E+01,
33.000000,5.443612E+03,5.660723E+03,1.925761E+01,
34.000000,5.562593E+03,5.660723E+03,2.347609E+01,
35.000000,5.593144E+03,5.660723E+03,1.843443E+01,
36.000000,5.508460E+03,5.660723E+03,1.808952E+01,
37.000000,5.484569E+03,5.660594E+03,1.935621E+01,
38.000000,5.581225E+03,5.660723E+03,3.225729E+01,
39.000000,5.480997E+03,5.660723E+03,2.247080E+01,
