Time,x1,x2,x3,
0.000000,1.421909E+03,3.571675E+03,1.999689E+00,
1.000000,1.826087E+02,3.543212E+03,8.646661E-02,
2.000000,1.835069E+02,3.398689E+03,8.729101E-02,
3.000000,1.852953E+02,3.243638E+03,9.349189E-02,
4.000000,1.886322E+02,3.089414E+03,1.044113E-01,
5.000000,2.005602E+02,2.942022E+03,1.451589E-01,
6.000000,2.087007E+02,2.803605E+03,1.611206E-01,
7.000000,2.179985E+02,2.670914E+03,1.813859E-01,
8.000000,2.274587E+02,2.545658E+03,2.060716E-01,
9.000000,2.440570E+02,2.428476E+03,1.931176E-01,
10.000000,2.700366E+02,2.315372E+03,2.389085E-01,
11.000000,3.412885E+02,2.208798E+03,2.475085E-01,
12.000000,5.288351E+02,2.106619E+03,2.138956E-01,
13.000000,1.030754E+03,2.009046E+03,1.704253E-01,
14.000000,1.957480E+03,1.916409E+03,1.005979E-01,
15.000000,2.740121E+03,1.827861E+03,3.545197E-02,
16.000000,3.026806E+03,1.745708E+03,1.604818E-02,
17.000000,3.145667E+03,1.666600E+03,5.515889E-03,
18.000000,3.204499E+03,1.588344E+03,6.434207E-04,
19.000000,3.211846E+03,1.517555E+03,1.060927E-05,
20.000000,3.211953E+03,1.448617E+03,5.470899E-08,
21.000000,3.211915E+03,1.384456E+03,6.054031E-11,
22.000000,3.211915E+03,1.321186E+03,1.469058E-14,
23.000000,3.211915E+03,1.261166E+03,8.723761E-19,
24.000000,3.211915E+03,1.204429E+03,8.612675E-24,
25.000000,3.211915E+03,1.152208E+03,1.851367E-29,
26.000000,3.211915E+03,1.101063E+03,5.273685E-36,
27.000000,3.211915E+03,1.052186E+03,1.701978E-43,
28.000000,3.211915E+03,1.006136E+03,4.346366E-52,
29.000000,3.211915E+03,9.612143E+02,1.319337E-61,
30.000000,3.211915E+03,9.193593E+02,1.852964E-72,
31.000000,3.211915E+03,8.784057E+02,1.296931E-84,
32.000000,3.211915E+03,8.407415E+02,3.174754E-98,
33.000000,3.211915E+03,8.050948E+02,2.604747E-113,
34.000000,3.211915E+03,7.699853E+02,4.811919E-130,
35.000000,3.211915E+03,7.371143E+02,1.817990E-148,
36.000000,3.211915E+03,7.045893E+02,8.714249E-169,
37.000000,3.211915E+03,6.743768E+02,3.212229E-191,
38.000000,3.211915E+03,6.451379E+02,7.067275E-03,
39.000000,3.211915E+03,6.183821E+02,4.105482E-02,
