Time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,
0,0.18000000000000002,0.2,0.010000000000000002,0.4,0.4,0.09000000000000001,0.1,0.1,2.8800000000000003,0.2,1.6,0.6600000000000001,0.22000000000000003,0.22000000000000003,0.7000000000000001,1.2000000000000002,1.32727934,1.76365798,1.76366706,0.30000000000000004,1.5000000000000002,
1,0.06000000000000001,0.396307801322884,0.010000000000000002,0.4,0.4,0.010000000000000002,0.2981317480285815,0.1,2.6434510720000004,0.6171774139090985,1.6711266681251369,1.9800000000000002,1.9738153346996121,0.9870717733272616,0.7447259226905439,1.2000000000000002,0.2,0.20194940610380235,1.0106173460795664,0.36226077000000007,1.5000000000000002,
2,0.06000000000000001,0.5596079858424213,0.010000000000000002,0.4,0.4,0.010000000000000002,0.45228548454374345,0.1,2.3234499288287314,0.9796345457226416,4.037433042359135,1.9800000000000002,1.9800000000000002,1.9799998377736436,1.5017649217423372,1.2000000000000002,0.2,0.2,0.20000001207896803,0.6516590610893781,1.5000031478102729,
3,0.06000000000000001,0.6144458845853886,0.010000000000000002,0.4,0.4,0.010000000000000002,0.5254490652617045,0.1,1.8921813263719307,1.1289560793202764,6.296946958731942,1.9800000000000002,1.9800000000000002,1.9800000000000002,2.119351422682349,1.2000000000000002,0.2,0.2,0.2,1.0866659957518041,1.5825423392382016,
4,0.06000000000000001,0.7272248245352888,0.010000000000000002,0.4,0.4,0.012435713728307131,0.5200950713928438,0.10167464619583927,1.260179946056746,1.1015615831675316,9.66409959917126,1.9800000000000002,1.9800000000000002,1.9800000000000002,2.779562871874483,1.2000000000000002,0.2,0.2,0.2,1.7369097523507604,2.07786147388735,
5,0.06000000000000001,0.8959411752835398,0.010020074043141966,0.4,0.4,0.026018977884739173,0.40606254946478687,0.255963197352622,0.72094050770361,0.8450082269588508,12.001611800541887,1.9800000000000002,1.9757538957899667,1.9800000000000002,3.5012231343345253,1.2015150604243472,0.2,0.20093677800989923,0.2,2.2774980391024826,2.311590427586992,
6,0.06000000000000001,0.9904436698307524,0.010853144904266629,0.4000316062720122,0.4,0.022120449834236357,0.27229169106622175,0.3780891817853725,0.3405401641359873,0.5593155160822106,12.573496106236448,1.9800000000000002,1.8697523821658295,1.979345009484803,3.8940162683375323,1.3949637012640153,0.2,0.25667189054926093,0.20012560264518833,2.655649138027145,2.6663000268832673,
7,0.06000000000000001,1.0000378747172232,0.014688391789509096,0.4047864524661811,0.40000178903426487,0.01010591943635355,0.11362521479079554,0.44204864007045924,0.3200047098357052,0.22431831113820347,11.976687625428884,1.9800000000000002,1.4709994960755948,1.9440386287506517,4.866251210644563,2.477634585288786,0.2,0.5684197887201898,0.21577205321530807,2.6927335600444797,2.6951395040001946,
8,0.06000050157683218,1.002204329591312,0.022577343787273902,0.4424024674547369,0.4005177585225108,0.010000000000016187,0.10000311900990544,0.41482196491655243,0.3205930210916709,0.2000004434652019,10.897206415557994,1.9800000000000002,0.7480105317745546,1.7661762038055073,5.0242057473251815,3.8897749826289667,0.2,1.256490112367782,0.329297469624468,2.691818971430136,2.6943390158978167,
9,0.060173258477206074,1.0128040024244795,0.0338614004149357,0.5508121603371301,0.4070541461230223,0.010000000000000002,0.1,0.35005078694436187,0.33030847493687604,0.2,9.652395706245699,1.9800000000000002,0.23337114164384448,1.31034740052587,5.84958261392404,5.00047416767672,0.2,1.7832875991341655,0.7081152222365998,2.671768854066035,2.6790507163495874,
10,0.06157574118456785,1.031560296980386,0.04708140965541886,0.7469994822787861,0.4332608566030364,0.010000000000000002,0.1,0.2810744987874571,0.3961905210100256,0.2,8.388894170847767,1.9800000000000002,0.22000000019312807,0.611574375909877,6.195979261631784,6.566261502541337,0.2,1.7993860538454023,1.3865371130425908,2.5868150386647093,2.6080468117832862,
11,0.06523215231820881,1.0427852104670232,0.06007712243259386,1.0847145553267465,0.5041849996081034,0.010000000000000002,0.1,0.1949141124546313,0.6386582697674625,0.20000245021213156,6.2149304958923155,1.9800000000000002,0.22000000000000003,0.23202572711414263,5.675807139832664,8.272687119991646,0.2,1.7999281551752022,1.7790376538818833,2.351926152303011,2.386161193497253,
